District,School,Grade,Year,Value
ABQ SCHOOL OF EXCELLENCE,ABQ SCHOOL OF EXCELLENCE,C,2012-2013,3
ABQ SCHOOL OF EXCELLENCE,ABQ SCHOOL OF EXCELLENCE,A,2013-2014,5
ABQ SCHOOL OF EXCELLENCE,ABQ SCHOOL OF EXCELLENCE,C,2014-2015,3
ABQ SCHOOL OF EXCELLENCE,ABQ SCHOOL OF EXCELLENCE,A,2015-2016,5
ABQ SCHOOL OF EXCELLENCE,ABQ SCHOOL OF EXCELLENCE,B,2016-2017,4
ABQ SCHOOL OF EXCELLENCE,ABQ SCHOOL OF EXCELLENCE,A,2017-2018,5
ABQ SIGN LANGUAGE ACADEMY,ABQ SIGN LANGUAGE ACADEMY,NA,2012-2013,NA
ABQ SIGN LANGUAGE ACADEMY,ABQ SIGN LANGUAGE ACADEMY,NA,2013-2014,NA
ABQ SIGN LANGUAGE ACADEMY,ABQ SIGN LANGUAGE ACADEMY,B,2014-2015,4
ABQ SIGN LANGUAGE ACADEMY,ABQ SIGN LANGUAGE ACADEMY,NA,2015-2016,NA
ABQ SIGN LANGUAGE ACADEMY,ABQ SIGN LANGUAGE ACADEMY,D,2016-2017,2
ABQ SIGN LANGUAGE ACADEMY,ABQ SIGN LANGUAGE ACADEMY,B,2017-2018,4
ACADEMY OF TRADES AND TECH,ACADEMY OF TRADES AND TECH,C,2012-2013,3
ACADEMY OF TRADES AND TECH,ACADEMY OF TRADES AND TECH,D,2013-2014,2
ACADEMY OF TRADES AND TECH,ACADEMY OF TRADES AND TECH,F,2014-2015,1
ACADEMY OF TRADES AND TECH,ACADEMY OF TRADES AND TECH,F,2015-2016,1
ACADEMY OF TRADES AND TECH,ACADEMY OF TRADES AND TECH,F,2016-2017,1
ACADEMY OF TRADES AND TECH,ACADEMY OF TRADES AND TECH,F,2017-2018,1
ACE LEADERSHIP HIGH SCHOOL,ACE LEADERSHIP HIGH SCHOOL,B,2012-2013,4
